l,T,S,
0.7, 1.6,0, 
0.7, 1.7,0.137499, 
0.7, 1.8,0.0994942, 
0.7, 1.9,0, 
0.7, 2,0.091741, 
0.7, 2.1,0.102984, 
0.7, 2.2,0.09292, 
0.7, 2.3,0, 
0.7, 2.4,0, 
0.7, 2.5,0, 
0.7, 2.6,0, 
0.7, 2.7,0, 
0.7, 2.8,0, 
0.7, 2.9,0, 
0.7, 3,0, 
0.7, 3.1,0, 
0.7, 3.2,0.126854, 
0.7, 3.3,0.225849, 
0.7, 3.4,0, 
0.7, 3.5,0, 
0.7, 3.6,0, 
0.7, 3.7,0, 
0.7, 3.8,0, 
0.7, 3.9,0, 
0.7, 4,0, 
0.7, 4.1,0, 
0.7, 4.2,0, 
0.7, 4.3,0, 
0.7, 4.4,0, 
0.7, 4.5,0, 
0.7, 4.6,0, 
0.7, 4.7,0, 
0.7, 4.8,0, 
0.7, 4.9,0, 
0.7, 5,0, 
0.8, 0.1,0.115825, 
0.8, 0.2,0.116238, 
0.8, 0.3,0.12111, 
0.8, 0.4,0.109459, 
0.8, 0.5,0.0872446, 
0.8, 0.6,0.100615, 
0.8, 0.7,0, 
0.8, 0.8,0.0599259, 
0.8, 0.9,0.0666205, 
0.8, 1,0.176579, 
0.8, 1.1,0.135432, 
0.8, 1.2,0, 
0.8, 1.3,0.0727573, 
0.8, 1.4,0, 
0.8, 1.5,0, 
0.8, 1.6,0.0964712, 
0.8, 1.7,0.0927946, 
0.8, 1.8,0.0982035, 
0.8, 1.9,0, 
0.8, 2,0.105043, 
0.8, 2.1,0.201779, 
0.8, 2.2,0, 
0.8, 2.3,0, 
0.8, 2.4,0, 
0.8, 2.5,0, 
0.8, 2.6,0.104557, 
0.8, 2.7,0, 
0.8, 2.8,0, 
0.8, 2.9,0, 
0.8, 3,0.129327, 
0.8, 3.1,0.12946, 
0.8, 3.2,0, 
0.8, 3.3,0.132523, 
0.8, 3.4,0, 
0.8, 3.5,0, 
0.8, 3.6,0, 
0.8, 3.7,0, 
0.8, 3.8,0, 
0.8, 3.9,0, 
0.8, 4,0, 
0.8, 4.1,0, 
0.8, 4.2,0, 
0.8, 4.3,0, 
0.8, 4.4,0, 
0.8, 4.5,0, 
0.8, 4.6,0, 
0.8, 4.7,0, 
0.8, 4.8,0, 
0.8, 4.9,0, 
0.8, 5,0, 
0.9, 0.1,0.133992, 
0.9, 0.2,0.155046, 
0.9, 0.3,0.0673794, 
0.9, 0.4,0.129549, 
0.9, 0.5,0.0933261, 
0.9, 0.6,0.050472, 
0.9, 0.7,0.0534725, 
0.9, 0.8,0.0617585, 
0.9, 0.9,0.0753292, 
0.9, 1,0.102525, 
0.9, 1.1,0, 
0.9, 1.2,0.0779741, 
0.9, 1.3,0.0834186, 
0.9, 1.4,0, 
0.9, 1.5,0, 
0.9, 1.6,0.0999255, 
0.9, 1.7,0, 
0.9, 1.8,0, 
0.9, 1.9,0.11563, 
0.9, 2,0, 
0.9, 2.1,0, 
0.9, 2.2,0.106323, 
0.9, 2.3,0, 
0.9, 2.4,0, 
0.9, 2.5,0, 
0.9, 2.6,0, 
0.9, 2.7,0, 
0.9, 2.8,0.129846, 
0.9, 2.9,0, 
0.9, 3,0, 
0.9, 3.1,0, 
0.9, 3.2,0, 
0.9, 3.3,0, 
0.9, 3.4,0, 
0.9, 3.5,0, 
0.9, 3.6,0, 
0.9, 3.7,0, 
0.9, 3.8,0, 
0.9, 3.9,0, 
0.9, 4,0, 
0.9, 4.1,0, 
0.9, 4.2,0, 
0.9, 4.3,0, 
0.9, 4.4,0, 
0.9, 4.5,0, 
0.9, 4.6,0, 
0.9, 4.7,0, 
0.9, 4.8,0, 
0.9, 4.9,0, 
0.9, 5,0, 
1, 0.1,0.0869903, 
1, 0.2,0.158813, 
1, 0.3,0.0880772, 
1, 0.4,0.0838235, 
1, 0.5,0.055992, 
1, 0.6,0.0610902, 
1, 0.7,0.173214, 
1, 0.8,0, 
1, 0.9,0.0667226, 
1, 1,0, 
1, 1.1,0.088617, 
1, 1.2,0.0871599, 
1, 1.3,0.088849, 
1, 1.4,0.0993833, 
1, 1.5,0.09884, 
1, 1.6,0, 
1, 1.7,0, 
1, 1.8,0.12101, 
1, 1.9,0, 
1, 2,0, 
1, 2.1,0, 
1, 2.2,0, 
1, 2.3,0, 
1, 2.4,0, 
1, 2.5,0, 
1, 2.6,0.127551, 
1, 2.7,0, 
1, 2.8,0, 
1, 2.9,0, 
1, 3,0.163145, 
1, 3.1,0, 
1, 3.2,0, 
1, 3.3,0, 
1, 3.4,0, 
1, 3.5,0, 
1, 3.6,0, 
1, 3.7,0, 
1, 3.8,0, 
1, 3.9,0, 
1, 4,0, 
1, 4.1,0, 
1, 4.2,0, 
1, 4.3,0, 
1, 4.4,0.168211, 
1, 4.5,0, 
1, 4.6,0, 
1, 4.7,0, 
1, 4.8,0, 
1, 4.9,0, 
1, 5,0, 
1.1, 0.1,0.122077, 
1.1, 0.2,0.119069, 
1.1, 0.3,0.0978066, 
1.1, 0.4,0.154378, 
1.1, 0.5,0.0581418, 
1.1, 0.6,0.0581326, 
1.1, 0.7,0.136391, 
1.1, 0.8,0, 
1.1, 0.9,0, 
1.1, 1,0, 
1.1, 1.1,0, 
1.1, 1.2,0.0919759, 
1.1, 1.3,0.101163, 
1.1, 1.4,0, 
1.1, 1.5,0, 
1.1, 1.6,0, 
1.1, 1.7,0, 
1.1, 1.8,0, 
1.1, 1.9,0, 
1.1, 2,0, 
1.1, 2.1,0, 
1.1, 2.2,0, 
1.1, 2.3,0, 
1.1, 2.4,0, 
1.1, 2.5,0, 
1.1, 2.6,0, 
1.1, 2.7,0, 
1.1, 2.8,0, 
1.1, 2.9,0, 
1.1, 3,0, 
1.1, 3.1,0, 
1.1, 3.2,0, 
1.1, 3.3,0, 
1.1, 3.4,0, 
1.1, 3.5,0, 
1.1, 3.6,0, 
1.1, 3.7,0, 
1.1, 3.8,0, 
1.1, 3.9,0, 
1.1, 4,0, 
1.1, 4.1,0, 
1.1, 4.2,0, 
1.1, 4.3,0, 
1.1, 4.4,0, 
1.1, 4.5,0, 
1.1, 4.6,0, 
1.1, 4.7,0, 
1.1, 4.8,0, 
1.1, 4.9,0, 
1.1, 5,0.181754, 
1.2, 0.1,0.0926401, 
1.2, 0.2,0.0340405, 
1.2, 0.3,0.165282, 
1.2, 0.4,0.0991636, 
1.2, 0.5,0, 
1.2, 0.6,0, 
1.2, 0.7,0.0821253, 
1.2, 0.8,0.0729855, 
1.2, 0.9,0, 
1.2, 1,0.164416, 
1.2, 1.1,0.0960703, 
1.2, 1.2,0.0946569, 
1.2, 1.3,0, 
1.2, 1.4,0.100811, 
1.2, 1.5,0, 
1.2, 1.6,0, 
1.2, 1.7,0.108942, 
1.2, 1.8,0, 
1.2, 1.9,0, 
1.2, 2,0, 
1.2, 2.1,0.137404, 
1.2, 2.2,0, 
1.2, 2.3,0.134617, 
1.2, 2.4,0.136073, 
1.2, 2.5,0, 
1.2, 2.6,0.145137, 
1.2, 2.7,0, 
1.2, 2.8,0, 
1.2, 2.9,0, 
1.2, 3,0, 
1.2, 3.1,0, 
1.2, 3.2,0, 
1.2, 3.3,0, 
1.2, 3.4,0, 
1.2, 3.5,0, 
1.2, 3.6,0, 
1.2, 3.7,0, 
1.2, 3.8,0, 
1.2, 3.9,0, 
1.2, 4,0, 
1.2, 4.1,0, 
1.2, 4.2,0, 
1.2, 4.3,0.171083, 
1.2, 4.4,0, 
1.2, 4.5,0, 
1.2, 4.6,0, 
1.2, 4.7,0, 
1.2, 4.8,0, 
1.2, 4.9,0, 
1.2, 5,0, 
1.3, 0.1,0.14147, 
1.3, 0.2,0.109647, 
1.3, 0.3,0.163992, 
1.3, 0.4,0.0977103, 
1.3, 0.5,0, 
1.3, 0.6,0, 
1.3, 0.7,0.119433, 
1.3, 0.8,0, 
1.3, 0.9,0, 
1.3, 1,0, 
1.3, 1.1,0.0893658, 
1.3, 1.2,0, 
1.3, 1.3,0, 
1.3, 1.4,0, 
1.3, 1.5,0.116326, 
1.3, 1.6,0, 
1.3, 1.7,0, 
1.3, 1.8,0, 
1.3, 1.9,0, 
1.3, 2,0, 
1.3, 2.1,0, 
1.3, 2.2,0, 
1.3, 2.3,0.139966, 
1.3, 2.4,0, 
1.3, 2.5,0, 
1.3, 2.6,0, 
1.3, 2.7,0, 
1.3, 2.8,0, 
1.3, 2.9,0, 
1.3, 3,0, 
1.3, 3.1,0, 
1.3, 3.2,0, 
1.3, 3.3,0, 
1.3, 3.4,0, 
1.3, 3.5,0, 
1.3, 3.6,0, 
1.3, 3.7,0, 
1.3, 3.8,0, 
1.3, 3.9,0, 
1.3, 4,0, 
1.3, 4.1,0, 
1.3, 4.2,0, 
1.3, 4.3,0, 
1.3, 4.4,0, 
1.3, 4.5,0, 
1.3, 4.6,0, 
1.3, 4.7,0, 
1.3, 4.8,0, 
1.3, 4.9,0, 
1.3, 5,0, 
1.4, 0.1,0.0830259, 
1.4, 0.2,0.097985, 
1.4, 0.3,0.135203, 
1.4, 0.4,0.0574834, 
1.4, 0.5,0.114462, 
1.4, 0.6,0.0724965, 
1.4, 0.7,0.0772161, 
1.4, 0.8,0.0829163, 
1.4, 0.9,0, 
1.4, 1,0, 
1.4, 1.1,0, 
1.4, 1.2,0, 
1.4, 1.3,0, 
1.4, 1.4,0.116662, 
1.4, 1.5,0, 
1.4, 1.6,0, 
1.4, 1.7,0, 
1.4, 1.8,0, 
1.4, 1.9,0.132518, 
1.4, 2,0, 
1.4, 2.1,0.12854, 
1.4, 2.2,0, 
1.4, 2.3,0, 
1.4, 2.4,0, 
1.4, 2.5,0, 
1.4, 2.6,0, 
1.4, 2.7,0, 
1.4, 2.8,0, 
1.4, 2.9,0, 
1.4, 3,0, 
1.4, 3.1,0, 
1.4, 3.2,0, 
1.4, 3.3,0, 
1.4, 3.4,0, 
1.4, 3.5,0, 
1.4, 3.6,0, 
1.4, 3.7,0, 
1.4, 3.8,0, 
1.4, 3.9,0, 
1.4, 4,0, 
1.4, 4.1,0, 
1.4, 4.2,0, 
1.4, 4.3,0, 
1.4, 4.4,0, 
1.4, 4.5,0, 
1.4, 4.6,0, 
1.4, 4.7,0, 
1.4, 4.8,0, 
1.4, 4.9,0, 
1.4, 5,0, 
1.5, 0.1,0.0903626, 
1.5, 0.2,0.0763588, 
1.5, 0.3,0.162886, 
1.5, 0.4,0.204244, 
1.5, 0.5,0.0672226, 
1.5, 0.6,0.0636688, 
1.5, 0.7,0.0743937, 
1.5, 0.8,0, 
1.5, 0.9,0, 
1.5, 1,0.093444, 
1.5, 1.1,0.103109, 
1.5, 1.2,0, 
1.5, 1.3,0, 
1.5, 1.4,0, 
1.5, 1.5,0, 
1.5, 1.6,0, 
1.5, 1.7,0, 
1.5, 1.8,0, 
1.5, 1.9,0, 
1.5, 2,0, 
1.5, 2.1,0, 
1.5, 2.2,0, 
1.5, 2.3,0, 
1.5, 2.4,0, 
1.5, 2.5,0.164245, 
1.5, 2.6,0, 
1.5, 2.7,0, 
1.5, 2.8,0, 
1.5, 2.9,0, 
1.5, 3,0, 
1.5, 3.1,0, 
1.5, 3.2,0, 
1.5, 3.3,0, 
1.5, 3.4,0, 
1.5, 3.5,0, 
1.5, 3.6,0, 
1.5, 3.7,0, 
1.5, 3.8,0, 
1.5, 3.9,0, 
1.5, 4,0, 
1.5, 4.1,0, 
1.5, 4.2,0, 
1.5, 4.3,0, 
1.5, 4.4,0, 
1.5, 4.5,0, 
1.5, 4.6,0, 
1.5, 4.7,0, 
1.5, 4.8,0, 
1.5, 4.9,0, 
1.5, 5,0, 
1.6, 0.1,0.0959414, 
1.6, 0.2,0.143134, 
1.6, 0.3,0.0564287, 
1.6, 0.4,0.0547515, 
1.6, 0.5,0.130489, 
1.6, 0.6,0.0645213, 
1.6, 0.7,0.0918622, 
1.6, 0.8,0.0905721, 
1.6, 0.9,0, 
1.6, 1,0, 
1.6, 1.1,0, 
1.6, 1.2,0, 
1.6, 1.3,0.120008, 
1.6, 1.4,0.104426, 
1.6, 1.5,0, 
1.6, 1.6,0, 
1.6, 1.7,0.155401, 
1.6, 1.8,0, 
1.6, 1.9,0, 
1.6, 2,0, 
1.6, 2.1,0, 
1.6, 2.2,0, 
1.6, 2.3,0, 
1.6, 2.4,0, 
1.6, 2.5,0, 
1.6, 2.6,0, 
1.6, 2.7,0, 
1.6, 2.8,0, 
1.6, 2.9,0, 
1.6, 3,0, 
1.6, 3.1,0, 
1.6, 3.2,0, 
1.6, 3.3,0, 
1.6, 3.4,0, 
1.6, 3.5,0.182513, 
1.6, 3.6,0, 
1.6, 3.7,0, 
1.6, 3.8,0, 
1.6, 3.9,0, 
1.6, 4,0, 
1.6, 4.1,0, 
1.6, 4.2,0, 
1.6, 4.3,0, 
1.6, 4.4,0, 
1.6, 4.5,0, 
1.6, 4.6,0, 
1.6, 4.7,0, 
1.6, 4.8,0, 
1.6, 4.9,0, 
1.6, 5,0, 
1.7, 0.1,0.0983649, 
1.7, 0.2,0.0399898, 
1.7, 0.3,0.0918502, 
1.7, 0.4,0.120727, 
1.7, 0.5,0, 
1.7, 0.6,0, 
1.7, 0.7,0.0815486, 
1.7, 0.8,0, 
1.7, 0.9,0, 
1.7, 1,0.106759, 
1.7, 1.1,0.122545, 
1.7, 1.2,0, 
1.7, 1.3,0, 
1.7, 1.4,0, 
1.7, 1.5,0.133961, 
1.7, 1.6,0, 
1.7, 1.7,0, 
1.7, 1.8,0, 
1.7, 1.9,0, 
1.7, 2,0, 
1.7, 2.1,0, 
1.7, 2.2,0, 
1.7, 2.3,0, 
1.7, 2.4,0, 
1.7, 2.5,0, 
1.7, 2.6,0, 
1.7, 2.7,0, 
1.7, 2.8,0, 
1.7, 2.9,0, 
1.7, 3,0, 
1.7, 3.1,0, 
1.7, 3.2,0, 
1.7, 3.3,0, 
1.7, 3.4,0, 
1.7, 3.5,0, 
1.7, 3.6,0, 
1.7, 3.7,0, 
1.7, 3.8,0, 
1.7, 3.9,0, 
1.7, 4,0, 
1.7, 4.1,0, 
1.7, 4.2,0, 
1.7, 4.3,0, 
