l,T,S,
0.9, 1.6,0.0926867, 
0.9, 1.7,0, 
0.9, 1.8,0, 
0.9, 1.9,0, 
0.9, 2,0.115395, 
0.9, 2.1,0, 
0.9, 2.2,0.120316, 
0.9, 2.3,0, 
0.9, 2.4,0, 
0.9, 2.5,0, 
0.9, 2.6,0, 
0.9, 2.7,0, 
0.9, 2.8,0, 
0.9, 2.9,0.122075, 
0.9, 3,0, 
0.9, 3.1,0, 
0.9, 3.2,0, 
0.9, 3.3,0, 
0.9, 3.4,0, 
0.9, 3.5,0, 
0.9, 3.6,0, 
0.9, 3.7,0, 
0.9, 3.8,0, 
0.9, 3.9,0, 
0.9, 4,0, 
0.9, 4.1,0, 
0.9, 4.2,0, 
0.9, 4.3,0, 
0.9, 4.4,0, 
0.9, 4.5,0, 
0.9, 4.6,0, 
0.9, 4.7,0, 
0.9, 4.8,0, 
0.9, 4.9,0, 
0.9, 5,0, 
1, 0.1,0.104204, 
1, 0.2,0.156468, 
1, 0.3,0.110616, 
1, 0.4,0.0896913, 
1, 0.5,0.0970582, 
1, 0.6,0.0619837, 
1, 0.7,0.0724126, 
1, 0.8,0.141922, 
1, 0.9,0, 
1, 1,0.0782457, 
1, 1.1,0, 
1, 1.2,0, 
1, 1.3,0, 
1, 1.4,0, 
1, 1.5,0, 
1, 1.6,0.10342, 
1, 1.7,0.10774, 
1, 1.8,0, 
1, 1.9,0, 
1, 2,0, 
1, 2.1,0, 
1, 2.2,0, 
1, 2.3,0, 
1, 2.4,0.116461, 
1, 2.5,0.111589, 
1, 2.6,0.142642, 
1, 2.7,0, 
1, 2.8,0, 
1, 2.9,0, 
1, 3,0, 
1, 3.1,0.154248, 
1, 3.2,0, 
1, 3.3,0, 
1, 3.4,0, 
1, 3.5,0, 
1, 3.6,0, 
1, 3.7,0, 
1, 3.8,0, 
1, 3.9,0, 
1, 4,0, 
1, 4.1,0, 
1, 4.2,0, 
1, 4.3,0, 
1, 4.4,0, 
1, 4.5,0, 
1, 4.6,0, 
1, 4.7,0, 
1, 4.8,0, 
1, 4.9,0, 
1, 5,0, 
1.1, 0.1,0.0822079, 
1.1, 0.2,0.109027, 
1.1, 0.3,0.033241, 
1.1, 0.4,0.162877, 
1.1, 0.5,0.124679, 
1.1, 0.6,0.0551038, 
1.1, 0.7,0, 
1.1, 0.8,0.0751027, 
1.1, 0.9,0, 
1.1, 1,0.0770008, 
1.1, 1.1,0, 
1.1, 1.2,0.103941, 
1.1, 1.3,0.0771309, 
1.1, 1.4,0, 
1.1, 1.5,0, 
1.1, 1.6,0, 
1.1, 1.7,0, 
1.1, 1.8,0, 
1.1, 1.9,0.107248, 
1.1, 2,0.122646, 
1.1, 2.1,0, 
1.1, 2.2,0, 
1.1, 2.3,0, 
1.1, 2.4,0, 
1.1, 2.5,0, 
1.1, 2.6,0, 
1.1, 2.7,0, 
1.1, 2.8,0, 
1.1, 2.9,0, 
1.1, 3,0, 
1.1, 3.1,0, 
1.1, 3.2,0, 
1.1, 3.3,0, 
1.1, 3.4,0, 
1.1, 3.5,0, 
1.1, 3.6,0, 
1.1, 3.7,0, 
1.1, 3.8,0, 
1.1, 3.9,0, 
1.1, 4,0, 
1.1, 4.1,0, 
1.1, 4.2,0, 
1.1, 4.3,0, 
1.1, 4.4,0, 
1.1, 4.5,0, 
1.1, 4.6,0, 
1.1, 4.7,0, 
1.1, 4.8,0, 
1.1, 4.9,0, 
1.1, 5,0, 
1.2, 0.1,0.114978, 
1.2, 0.2,0.156921, 
1.2, 0.3,0.112669, 
1.2, 0.4,0.106722, 
